video_id,title,description,comment,published_at,author_display_name,comment_like_count,comment_count,video_dislike_count,video_favourite_count,video_like_count,video_view_count,channel_subscriber_count
u0bOF5zcvQ8,Swanage Railway 'Save Our Service' Appeal with Gavin Brown,"Our next SOS volunteer video comes from fireman and trainee signalman, Gavin Brown. His experience from volunteering helped start his career with a job as a signalling maintenance technician on the mainline railway! We also have drivers, guards, shunters, engineers, signallers and managers for example, that all owe their livelihoods to the humble beginnings on the Swanage Railway.

The Swanage Railway means a wonderfully diverse range of things to each person. If there's a reason you love and enjoy the railway then please donate to our 'Save Our Service' appeal to help it survive and recover after COVID-19! www.saveourservice.co.uk

To donate, text 'SOS' to 70470 to donate £10. This costs £10 plus a standard rate message. Alternatively, you can choose to give any whole amount between £1 and £20. E.g. texting 'SOS 4' = £4 plus a std rate msg.

www.swanagerailwaytrust.org/volunteering

Thanks to many extremely generous donations over £187,405 has been raised so far but, considering we would normally have started running daily services by now, this will not yet recuperate our loss of revenue.

Despite nearly all of our staff being furloughed, the railway will still incur overhead costs such as rent for the station buildings and the leased track bed. The effects of COVID-19 are already having a financial impact and will continue to do so, potentially for years to come.

All of the profits gained during the operating season are reinvested back into the Swanage Railway throughout the year and particularly during a winter break for the essential maintenance of the trains, facilities and infrastructure. The railway’s insurance however does not cover pandemics, so as each day passes without income that cash reserve diminishes, but this essential work still has to take place. It is therefore vital we fight for the railway’s survival.

Any contribution, no matter how big or small, will be gratefully received and help make a difference during these difficult times.

Please support the railway and Save Our Service!",Action all 'Armchair Activists' we need your generosity!,2020-04-30T11:19:47Z,JP Dronography,5,0,0,0,20,536,1200
0coHMZOI3X0,Swanage Railway 'Save Our Service' Appeal with Nathan Au,"Our second SOS volunteer video comes from driver, Nathan Au. His story is one of many passionate examples that demonstrates the value of our volunteers. Their contribution not only helps the railway but in turn supports the local area too.

The Swanage Railway means a wonderfully diverse range of things to each person. If there's a reason you love and enjoy the railway then please donate to our 'Save Our Service' appeal to help it survive and recover after COVID-19! www.saveourservice.co.uk

To donate, text 'SOS' to 70470 to donate £10. This costs £10 plus a standard rate message. Alternatively, you can choose to give any whole amount between £1 and £20. E.g. texting 'SOS 4' = £4 plus a std rate msg.

www.swanagerailwaytrust.org/volunteering

Thanks to many extremely generous donations over £187,405 has been raised so far but, considering we would normally have started running daily services by now, this will not yet recuperate our loss of revenue.

Despite nearly all of our staff being furloughed, the railway will still incur overhead costs such as rent for the station buildings and the leased track bed. The effects of COVID-19 are already having a financial impact and will continue to do so, potentially for years to come.

All of the profits gained during the operating season are reinvested back into the Swanage Railway throughout the year and particularly during a winter break for the essential maintenance of the trains, facilities and infrastructure. The railway’s insurance however does not cover pandemics, so as each day passes without income that cash reserve diminishes, but this essential work still has to take place. It is therefore vital we fight for the railway’s survival.

Any contribution, no matter how big or small, will be gratefully received and help make a difference during these difficult times.

Please support the railway and Save Our Service!",do not worry and with social distancing i will be taking a trip on your trains after a year and donating you will survive swanage trust me you will. :),2020-04-22T22:19:46Z,DrumBang,2,3,2,0,29,997,1200
fkaLhGwlqSc,Swanage Railway 'Save Our Service' Appeal Footplate Ride on 44871,"We climb aboard Black 5, 44871 for a six mile journey through the beautiful Isle of Purbeck from Norden to Swanage. If you weren't already missing the railway, you definitely will after seeing this so sit back and enjoy the ride!

If you'd like to make the journey with your freinds and family in the future, please donate to our 'Save Our Service' appeal so you can still travel by steam train to the seaside...

www.saveourservice.co.uk

To donate, text 'SOS' to 70470 to donate £10. This costs £10 plus a standard rate message. Alternatively, you can choose to give any whole amount between £1 and £20. E.g. texting 'SOS 4' = £4 plus a std rate msg.",Excellent. Very Professional. Donation made and another to come later,2020-04-19T12:42:43Z,Ian Jamieson,3,8,0,0,83,3816,1200
rzoC9iQQ0Lk,Swanage Railway 'Save Our Service' Appeal with Alex Atkins.,"Introducing the first of a new series of short SOS volunteer videos!

Our fireman, Alex Atkins tells us what volunteering personally means to him and why the 'Save Our Service' appeal is so important to help the Swanage Railway survive...

To donate, text 'SOS' to 70470 to donate £10. This costs £10 plus a standard rate message. Alternatively, you can choose to give any whole amount between £1 and £20. E.g. texting 'SOS 4' = £4 plus a std rate msg.

www.saveourservice.co.uk
www.swanagerailwaytrust.org/volunteering

Thanks to many extremely generous donations over £187,405 has been raised so far but, considering we would normally have started running daily services by now, this will not yet recuperate our loss of revenue.

Despite nearly all of our staff being furloughed, the railway will still incur overhead costs such as rent for the station buildings and the leased track bed. The effects of COVID-19 are already having a financial impact and will continue to do so, potentially for years to come.

All of the profits gained during the operating season are reinvested back into the Swanage Railway throughout the year and particularly during a winter break for the essential maintenance of the trains, facilities and infrastructure. The railway’s insurance however does not cover pandemics, so as each day passes without income that cash reserve diminishes, but this essential work still has to take place. It is therefore vital we fight for the railway’s survival.

Any contribution, no matter how big or small, will be gratefully received and help make a difference during these difficult times.

Please support the railway and Save Our Service!",Excellent. Very Professional. Donation made and another to come later,2020-04-16T07:21:55Z,Ian Jamieson,3,0,0,0,24,995,1200
YVAyCZoe_ok,Swanage Railway 'Save Our Service' Fundraising Appeal,"We asked a few of our enthusiastic volunteers what the Swanage Railway means to them and why the ‘Save Our Service’ appeal urgently needs your help today! The exciting scenes are also a reminder of why the heritage industry is such an important part of history that can only continue with your support.

Thanks to many extremely generous donations over £187,405 has been raised so far but, considering we would normally have started running daily services by now, this will not yet recuperate our loss of revenue.
Despite nearly all of our staff being furloughed, the railway will still incur overhead costs such as rent for the station buildings and the leased track bed. The effects of COVID-19 are already having a financial impact and will continue to do so, potentially for years to come.

All of the profits gained during the operating season are reinvested back into the Swanage Railway throughout the year and particularly during a winter break for the essential maintenance of the trains, facilities and infrastructure. The railway’s insurance however does not cover pandemics, so as each day passes without income that cash reserve diminishes, but this essential work still has to take place. It is therefore vital we fight for the railway’s survival.

Any contribution, no matter how big or small, will be gratefully received and help make a difference during these difficult times.

Please support the railway and Save Our Service!
www.saveourservice.co.uk",Excellent. Very Professional. Donation made and another to come later,2020-04-09T10:18:21Z,Ian Jamieson,3,0,0,0,36,1469,1200
9NsLXnZR7kU,Swanage Railway SOS Appeal March 2020 Low Res Version,"Swanage Railway is facing the most urgent challenge in its history, thanks to extraordinary circumstances beyond its control: COVID-19 Virus. It is no exaggeration to say that the railway is fighting for its very existence.
Can you help us now?
https://saveourservice.co.uk
Thank you","Wonderful dont let it close again, like it did Jan 1972. Please help to save the Swanage Railway.",2020-03-28T13:11:48Z,David Poulton,2,2,0,0,9,362,1200
XYzUOBLaW-U,Swanage Railway Save Our Service Appeal 27 March 2020,"Swanage Railway is facing the most urgent challenge in its history, thanks to extraordinary circumstances beyond its control: COVID-19 Virus. It is no exaggeration to say that the railway is fighting for its very existence.
Can you help us now?
https://saveourservice.co.uk
Thank you","Wonderful dont let it close again, like it did Jan 1972. Please help to save the Swanage Railway.",2020-03-28T08:33:54Z,David Poulton,2,0,0,0,25,718,1200
vWw2ilem1Rs,A review of 2017 on the Swanage Railway – a year of challenge and triumph,"A review of 2017 on the Swanage Railway – a year of challenge and triumph.  A video presentation by Andrew P.M. Wright, first shown at the Swanage Railway Trust AGM on 23rd September 2017.  Highlights include the launch of the new Swanage to Wareham passenger service after 45 years of hard work and dedication by the Swanage Railway volunteers and members.",It's a nice  video,2017-09-24T09:41:02Z,intercity 125 125,2,6,3,0,82,8655,1200
hXW895j59E8,Swanage to Wareham & Back - First train for 45 years,"Join us for a drivers-eye view as we journey through the beautiful Purbeck countryside in real-time, and experience the best seat in the house on the journey from Swanage to Wareham and back.

The last British Rail train ran to Corfe Castle and Swanage in January 1972.

Shortly after, the line was closed and the tracks were ripped up, leaving only a three-mile stub from the main line to Furzebrook for clay and later Wytch Farm for oil.

Few people thought that passenger trains from Swanage and Corfe Castle would ever return to Wareham, but 45 years later the towns have been reconnected.

The first public train from Swanage to Wareham ran again on Tuesday 13th June 2017, departing at 10:23am. The service was top and tailed by Class 33 ""Crompton"" No. 33012 / D6515 ""Lt Jenny Lewis RN"" which hauled the service from Swanage to Wareham, and Class 37 No. 37518. which hauled the train back to Swanage.

Tickets are now available for purchase online from our website. Follow/Like us at the links below to find out more information. We look forward to seeing you on the railway soon.

Skip to:
Swanage - Wareham
Swanage Departure: 00:30
Herston: 4:30
Harmans Cross: 10:40
Corfe Castle: 22:35
Corfe Castle (view): 24:50
Norden: 26:20
Norden Gates: 29:15
Furzebrook: 33:48
Stoborough SSRI: 34:25
Creech Bottom: 35:50
Signal PW5752 (SR Limit): 38:35
Signal PW5750 (Token Limit): 39:25
Worgret Junction: 40:00
Wareham Arrival: 42:10

Wareham - Swanage
Wareham Departure: 43:30
Worgret Junction: 46:25
Creech Bottom: 51:10
Furzebrook: 52:50
Norden Gates: 58:20
Norden: 58:55
Corfe Castle: 1:05:15
Harmans Cross: 1:17:20
Herston: 1:24:10
Swanage Arrival: 1:27:35

Website: http://swanagerailway.co.uk/
Facebook: https://facebook.com/swanagerailway
Twitter: https://twitter.com/swanrailway",comments disabled,2017-07-31T10:23:36Z,,,,,,,,1200
x9-dTJjJmIg,NEW BOOK! SWANAGE BRANCH IN COLOUR,"It's the book that Swanage Railway official photographer, press officer and long-time volunteer Andrew P.M. Wright has been wanting to compile for almost 30 years.
A detailed and comprehensive pictorial history of the picturesque Swanage branch line in Dorset - and all in living colour.
Reviewed as ""a stunning volume"" by Swanage Railway Magazine, The Swanage Branch In Colour -- The Ultimate Archive is a quality 112-page hardback book covering 1951 to the end in 1972 and featuring 234 colour photographs with detailed captions providing a unique insight.
Including steam and diesel traction on branch and through trains from London, there is a journey from Wareham to Swanage with almost every part of the line covered.
The branch line's end of steam specials and its sad rundown are included, along with the last trains, the lifting of the track and the depressing aftermath.
Available from the Swanage Railway's shop at Swanage station or on-line at www.swanagerailway.co.uk
Published by Kingfisher Productions on Friday, 1 November, 2013.
ISBN 978-0-9573367-3-5
Recommended retail price: £20.00",Zzzzzzzzzzzzzzzzzzzzzz,2013-10-31T15:12:56Z,steppin wolf,0,2,3,0,17,5266,1200
EA7zDcKdfLE,Project Wareham 2013 - News update,"A Project Wareham news update by Swanage Railway official photographer Andrew P.M. Wright about the Swanage Railway's long-held aim - dating back to 1972 - of returning regular passenger trains from Swanage and Corfe Castle to the main line at Wareham. Andrew has been a Swanage Railway volunteer since the age of 17, back in 1982.",Zzzzzzzzzzzzzzzzzzzzzz,2013-10-19T07:42:08Z,steppin wolf,0,0,2,0,22,2834,1200
c7g-nxIl570,Swanage to Wareham Class 73 cab ride DVD,"Swanage Railway official photographer Andrew P.M. Wright has produced the first commercially available cab ride DVD covering a real time trip on a Class 73 electro-diesel from Swanage all the way to Wareham. Filmed during the summer of 2011 - and including rare colour photographs of the last ever British Rail trains between Wareham and Swanage on New Year's Day, 1972 - the DVD is available from the Swanage Railway shop at Swanage, in person or via the Swanage Railway website's on-line shop.","hello from holland come with brian
I'm a fan of cabride return trip cabride on DVD
I can not find the DVD on the site with you
This DVD is available and this DVD
cabride return trip
greeting brian",2013-10-19T07:23:58Z,Brian de bruin,1,2,2,0,10,2314,1200
eAJrqSYUbQA,Behind the steam scenes at Swanage station,A presentation by Swanage Railway official photographer Andrew P.M. Wright showing the work and commitment by volunteers to run the steam train service on the award-winning heritage railway. Andrew has been a Swanage Railway volunteer since 1982 when he was a teenager.,"hello from holland come with brian
I'm a fan of cabride return trip cabride on DVD
I can not find the DVD on the site with you
This DVD is available and this DVD
cabride return trip
greeting brian",2013-10-19T06:34:18Z,Brian de bruin,1,0,0,0,15,2177,1200
pKzw9uh661U,Harman's Cross - Building a Purbeck Station,"Swanage Railway official photographer and volunteer Andrew P.M. Wright has recorded the rebuilding of the Dorset heritage line for more than 30 years. Here, Andrew shows just how much work has gone into the building of Harman's Cross station since late 1987when the relaid tracks reached the three-mile point from Swanage on their way to Corfe Castle. More than 25 years on, volunteers continue to improve and develop Harman's Cross station.","hello from holland come with brian
I'm a fan of cabride return trip cabride on DVD
I can not find the DVD on the site with you
This DVD is available and this DVD
cabride return trip
greeting brian",2013-10-19T06:11:05Z,Brian de bruin,1,0,0,0,11,927,1200
iB916-DZSgc,Swanage Railway 2012 - Working Together Brings Results,"A presentation by Swanage Railway official photographer Andrew P.M. Wright for its 2012 annual general meeting showing how far the award-winning heritage railway has come - and some of the people who have built, develop, extend and run the Swanage Railway. Andrew has been a Swanage Railway volunteer since the age of 17, back in 1982.","hello from holland come with brian
I'm a fan of cabride return trip cabride on DVD
I can not find the DVD on the site with you
This DVD is available and this DVD
cabride return trip
greeting brian",2013-10-18T22:13:00Z,Brian de bruin,1,0,0,0,4,711,1200
0faWLDGSu7s,Project Wareham 2012 - Achieving a Dream,"A presentation by Swanage Railway official photographer Andrew P.M. Wright about the Swanage Railway's long-held aim - dating back to 1972 - of returning regular passenger trains from Swanage and Corfe Castle to the main line at Wareham. Andrew has been a Swanage Railway volunteer since the age of 17, back in 1982.","hello from holland come with brian
I'm a fan of cabride return trip cabride on DVD
I can not find the DVD on the site with you
This DVD is available and this DVD
cabride return trip
greeting brian",2013-10-18T21:50:56Z,Brian de bruin,1,0,0,0,26,5297,1200
RYNibDP8Xz0,Swanage Railway 2011 - Where People Matter,"A presentation by Swanage Railway official photographer Andrew P.M. Wright for its 2011 annual general meeting showing how far the award-winning heritage railway has come - and some of the people who have built, develop, extend and run the Swanage Railway. Andrew has been a Swanage Railway volunteer since the age of 17, back in 1982.","hello from holland come with brian
I'm a fan of cabride return trip cabride on DVD
I can not find the DVD on the site with you
This DVD is available and this DVD
cabride return trip
greeting brian",2013-10-18T21:26:56Z,Brian de bruin,1,0,0,0,11,1968,1200
2LWA8H17zaM,Swanage Railway 2010 - Where People Matter,"A presentation by Swanage Railway official photographer Andrew P.M. Wright for its 2010 annual general meeting showing how far the award-winning heritage railway has come - and some of the people who have built, develop, extend and run the Swanage Railway. Andrew has been a Swanage Railway volunteer since the age of 17, back in 1982.",So glad those people build that railway because I love that railway it is part of history as-well that’s just amazing,2013-10-18T20:48:38Z,Model railways And trains,1,1,0,0,8,673,1200
